id	url	outlet	language	relation	translation_route	priority	notes
178	https://iranwire.com/en/blogs/67063/	IranWire EN	EN	authored_by_ilya	already_english_canonical	P1	Guest opinion
179	https://iranwire.com/en/blogs/67758/	IranWire EN	EN	authored_by_ilya	already_english_canonical	P1	Guest opinion
180	https://iranwire.com/en/blogs/68597/	IranWire EN	EN	authored_by_ilya	already_english_canonical	P1	Guest opinion
141	https://www.themoscowtimes.com/author/ilya-klishin	The Moscow Times EN	EN	author_profile	already_english_canonical	P1	High-leverage English author page
142	https://www.themoscowtimes.com/2022/02/14/putin-macron-talks-highlight-gap-in-russia-expertise-a76375	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
143	https://www.themoscowtimes.com/2021/12/10/russias-mass-protests-10-years-on-finding-hope-in-apparent-defeat-a75781	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
144	https://www.themoscowtimes.com/2021/08/24/the-kremlin-is-coming-for-media-one-by-one-and-society-is-helpless-to-stop-it-a74879	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
145	https://www.themoscowtimes.com/2021/07/12/the-magic-mirror-of-public-opinion-a74492	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
146	https://www.themoscowtimes.com/2021/06/18/the-hill-to-die-on-russians-intent-on-resisting-mandatory-vaccination-a74255	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
147	https://www.themoscowtimes.com/2021/06/07/the-dilemma-of-the-great-terror-how-to-report-roman-protasevichs-confession-a74125	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
148	https://www.themoscowtimes.com/2021/05/17/lets-wait-until-after-the-elections-a73915	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
149	https://www.themoscowtimes.com/2021/03/19/luiza-rozova-and-the-helpless-intellectual-a73301	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
150	https://www.themoscowtimes.com/2021/02/12/four-ways-the-kremlin-could-block-western-social-networks-in-russia-a72920	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
151	https://www.themoscowtimes.com/2021/01/14/the-capitol-storming-gives-russians-an-escape-from-their-reality-a72598	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
152	https://www.themoscowtimes.com/2020/12/18/warning-an-army-of-russian-trolls-has-invaded-tiktok-a72410	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
153	https://www.themoscowtimes.com/2020/11/20/why-russians-dislike-good-russians-in-american-films-no-less-than-bad-russians-a72097	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
154	https://www.themoscowtimes.com/2020/11/09/great-russian-literature-versus-one-tweet-by-stephen-king-a71993	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
155	https://www.themoscowtimes.com/2020/09/28/anonymous-telegram-channels-are-shaping-russias-reality-a71588	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
156	https://www.themoscowtimes.com/2020/08/14/why-do-russians-resent-western-media-over-the-protests-in-belarus-a71155	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
157	https://www.themoscowtimes.com/2020/07/10/russian-authorities-are-targeting-journalists-historians-and-activists-the-rest-of-us-could-be-next-a70838	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
158	https://www.themoscowtimes.com/2020/06/03/russians-watch-the-american-protests-as-clouds-gather-at-home-a70466	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
159	https://www.themoscowtimes.com/2020/05/25/putin-and-the-distinct-russian-civilization-a70370	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
160	https://www.themoscowtimes.com/2020/05/05/why-showcase-the-prime-ministers-illness-on-tv-a70194	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
161	https://www.themoscowtimes.com/2020/04/27/how-censorship-leads-to-emotional-numbness-a70116	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
162	https://www.themoscowtimes.com/2020/04/16/coronavirus-spoils-putins-forever-in-power-vote-a70014	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
163	https://www.themoscowtimes.com/2020/03/31/as-russia-battles-the-coronavirus-crisis-where-is-putin-a69807	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
164	https://www.themoscowtimes.com/2020/03/25/why-russian-pensioners-wont-self-isolate-a69746	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
165	https://www.themoscowtimes.com/2020/03/18/buckwheat-and-the-coronavirus-how-russians-cope-with-the-end-of-the-world-a69668	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
166	https://www.themoscowtimes.com/2020/01/17/russians-have-little-say-in-their-future-a68952	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
167	https://www.themoscowtimes.com/2019/12/19/surviving-against-the-odds-how-russian-media-learned-to-adopt-in-the-2010s-a68687	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
168	https://www.themoscowtimes.com/2019/11/22/why-it-is-nearly-impossible-for-a-common-russian-to-follow-the-upcoming-us-elections-a68270	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
169	https://www.themoscowtimes.com/2019/11/11/putin-wants-to-own-the-russian-language-a68124	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
170	https://www.themoscowtimes.com/2019/10/30/how-putin-is-bankrupting-the-russian-opposition-a67971	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
171	https://www.themoscowtimes.com/2019/10/16/whats-behind-russian-medias-obsession-with-the-death-penalty-a67760	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
172	https://www.themoscowtimes.com/2019/10/14/putin-has-achieved-everything-he-wanted-but-it-will-never-be-enough-for-young-russians-a67718	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
173	https://www.themoscowtimes.com/2019/09/30/how-tiktok-is-bringing-russias-youth-closer-to-the-west-a67515	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
174	https://www.themoscowtimes.com/2019/09/26/russias-new-heroes-are-those-who-simply-say-things-as-they-are-a67400	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
175	https://www.themoscowtimes.com/2019/04/05/why-russian-journalists-find-refuge-in-propaganda-outlets-a65108	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
176	https://www.themoscowtimes.com/2014/05/21/the-kremlins-trolls-go-west-a35651	The Moscow Times EN	EN	authored_by_ilya	already_english_canonical	P1	Opinion
